"id","keyword","cluster","content_type","target_calculator","primary_url","related_links","backlink_from","search_intent","priority","status","week","scheduled_order","slug","angle"
"74","how deep to set fence posts","fencing","Blog","post-spacing-calculator","/tools/fencing/post-spacing-calculator.html","/tools/fencing/post-spacing-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/post-spacing-calculator.html | /tools/fencing/","Informational","High","Planned","19","74","how-deep-to-set-fence-posts","frost line"
"75","cost to replace a fence per foot","fencing","Blog","fence-calculator","/tools/fencing/fence-calculator.html","/tools/fencing/fence-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/gate-calculator.html | /tools/fencing/","/tools/fencing/fence-calculator.html | /tools/fencing/","Commercial","Medium","Planned","19","75","cost-to-replace-a-fence-per-foot","removal + install"
"76","how many pickets for a wood fence","fencing","Blog","wood-fence-calculator","/tools/fencing/wood-fence-calculator.html","/tools/fencing/wood-fence-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/wood-fence-calculator.html | /tools/fencing/","Informational","Medium","Planned","19","76","how-many-pickets-for-a-wood-fence","picket count"
"77","fence post spacing 8 ft rule","fencing","Blog","post-spacing-calculator","/tools/fencing/post-spacing-calculator.html","/tools/fencing/post-spacing-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/post-spacing-calculator.html | /tools/fencing/","Informational","Medium","Planned","20","77","fence-post-spacing-8-ft-rule","spacing"
"78","wood fence stain cost per foot","fencing","Blog","wood-fence-calculator","/tools/fencing/wood-fence-calculator.html","/tools/fencing/wood-fence-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/wood-fence-calculator.html | /tools/fencing/","Commercial","Low","Planned","20","78","wood-fence-stain-cost-per-foot","per ft"
"79","hog wire fence cost per foot","fencing","Blog","fence-calculator","/tools/fencing/fence-calculator.html","/tools/fencing/fence-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/gate-calculator.html | /tools/fencing/","/tools/fencing/fence-calculator.html | /tools/fencing/","Commercial","Low","Planned","20","79","hog-wire-fence-cost-per-foot","modern"
"80","how many rails for a 6 foot fence","fencing","Blog","wood-fence-calculator","/tools/fencing/wood-fence-calculator.html","/tools/fencing/wood-fence-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/wood-fence-calculator.html | /tools/fencing/","Informational","Low","Planned","20","80","how-many-rails-for-a-6-foot-fence","2-3 rails"
"81","vinyl fence cost per linear foot 2026","fencing","Blog","vinyl-fence-calculator","/tools/fencing/vinyl-fence-calculator.html","/tools/fencing/vinyl-fence-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/vinyl-fence-calculator.html | /tools/fencing/","Commercial","Medium","Planned","21","81","vinyl-fence-cost-per-linear-foot-2026",""
"82","cost to install a fence gate per linear foot","fencing","Blog","gate-calculator","/tools/fencing/gate-calculator.html","/tools/fencing/gate-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/gate-calculator.html | /tools/fencing/","Commercial","Low","Planned","21","82","cost-to-install-a-fence-gate-per-linear-foot",""
"83","cost to build a deck per square foot 2026","decking","Blog","deck-calculator","/tools/decking/deck-calculator.html","/tools/decking/deck-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-calculator.html | /tools/decking/","Commercial","High","Planned","21","83","cost-to-build-a-deck-per-square-foot-2026","composite/wood"
"84","how many deck boards for a 12x16 deck","decking","Blog","deck-calculator","/tools/decking/deck-calculator.html","/tools/decking/deck-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-calculator.html | /tools/decking/","Informational","High","Planned","21","84","how-many-deck-boards-for-a-12x16-deck","board count"
"85","deck railing spacing code requirements","decking","Blog","deck-railing-calculator","/tools/decking/deck-railing-calculator.html","/tools/decking/deck-railing-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-calculator.html | /tools/decking/","/tools/decking/deck-railing-calculator.html | /tools/decking/","Informational","High","Planned","22","85","deck-railing-spacing-code-requirements","4-inch sphere"
"86","deck beam span calculator how to","decking","Blog","deck-beam-calculator","/tools/decking/deck-beam-calculator.html","/tools/decking/deck-beam-calculator.html | /tools/decking/deck-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-beam-calculator.html | /tools/decking/","Informational","Medium","Planned","22","86","deck-beam-span-calculator-how-to","span tables"
"87","composite vs wood deck cost","decking","Blog","deck-calculator","/tools/decking/deck-calculator.html","/tools/decking/deck-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-calculator.html | /tools/decking/","Commercial","High","Planned","22","87","composite-vs-wood-deck-cost","25-yr view"
"88","deck joist spacing 16 vs 24","decking","Blog","deck-joist-calculator","/tools/decking/deck-joist-calculator.html","/tools/decking/deck-joist-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-calculator.html | /tools/decking/","/tools/decking/deck-joist-calculator.html | /tools/decking/","Informational","Medium","Planned","22","88","deck-joist-spacing-16-vs-24","load"
"89","how much does a 12x12 deck cost","decking","Blog","deck-calculator","/tools/decking/deck-calculator.html","/tools/decking/deck-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-calculator.html | /tools/decking/","Commercial","Medium","Planned","23","89","how-much-does-a-12x12-deck-cost","example"
"90","deck stair stringer calculator","decking","Blog","deck-stair-calculator","/tools/decking/deck-stair-calculator.html","/tools/decking/deck-stair-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-calculator.html | /tools/decking/","/tools/decking/deck-stair-calculator.html | /tools/decking/","Informational","Medium","Planned","23","90","deck-stair-stringer-calculator","rise/run"
"91","how to space deck posts","decking","Blog","deck-post-calculator","/tools/decking/deck-post-calculator.html","/tools/decking/deck-post-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-calculator.html | /tools/decking/","/tools/decking/deck-post-calculator.html | /tools/decking/","Informational","Medium","Planned","23","91","how-to-space-deck-posts","8 ft"
"92","composite decking cost per square foot","decking","Blog","deck-calculator","/tools/decking/deck-calculator.html","/tools/decking/deck-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-calculator.html | /tools/decking/","Commercial","Medium","Planned","23","92","composite-decking-cost-per-square-foot",""
"93","deck footing size for a pergola","decking","Blog","deck-post-calculator","/tools/decking/deck-post-calculator.html","/tools/decking/deck-post-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-calculator.html | /tools/decking/","/tools/decking/deck-post-calculator.html | /tools/decking/","Informational","Low","Planned","24","93","deck-footing-size-for-a-pergola",""
"94","pergola attached to deck cost","decking","Blog","deck-calculator","/tools/decking/deck-calculator.html","/tools/decking/deck-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-calculator.html | /tools/decking/","Commercial","Low","Planned","24","94","pergola-attached-to-deck-cost",""
"95","deck post spacing for 2x8 beam","decking","Blog","deck-post-calculator","/tools/decking/deck-post-calculator.html","/tools/decking/deck-post-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-calculator.html | /tools/decking/","/tools/decking/deck-post-calculator.html | /tools/decking/","Informational","Low","Planned","24","95","deck-post-spacing-for-2x8-beam",""
"96","how many balusters for deck railing","decking","Blog","deck-railing-calculator","/tools/decking/deck-railing-calculator.html","/tools/decking/deck-railing-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-calculator.html | /tools/decking/","/tools/decking/deck-railing-calculator.html | /tools/decking/","Informational","Medium","Planned","24","96","how-many-balusters-for-deck-railing",""
"97","cost to build a deck with roof","decking","Blog","deck-calculator","/tools/decking/deck-calculator.html","/tools/decking/deck-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-calculator.html | /tools/decking/","Commercial","Medium","Planned","25","97","cost-to-build-a-deck-with-roof",""
"98","how much insulation do i need for attic","insulation","Blog","insulation-calculator","/tools/insulation/insulation-calculator.html","/tools/insulation/insulation-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/r-value-calculator.html | /tools/insulation/","/tools/insulation/insulation-calculator.html | /tools/insulation/","Informational","High","Planned","25","98","how-much-insulation-do-i-need-for-attic","sq ft"
"99","r value by climate zone map","insulation","Blog","r-value-calculator","/tools/insulation/r-value-calculator.html","/tools/insulation/r-value-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/insulation-calculator.html | /tools/insulation/","/tools/insulation/r-value-calculator.html | /tools/insulation/","Informational","High","Planned","25","99","r-value-by-climate-zone-map","zones 1-8"
"100","blown in insulation cost per square foot","insulation","Blog","blown-in-insulation-calculator","/tools/insulation/blown-in-insulation-calculator.html","/tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/insulation-calculator.html | /tools/insulation/r-value-calculator.html | /tools/insulation/","/tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/","Commercial","Medium","Planned","25","100","blown-in-insulation-cost-per-square-foot",""
"101","vapor barrier under concrete slab","insulation","Blog","vapor-barrier-calculator","/tools/insulation/vapor-barrier-calculator.html","/tools/insulation/vapor-barrier-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/insulation-calculator.html | /tools/insulation/","/tools/insulation/vapor-barrier-calculator.html | /tools/insulation/","Informational","Medium","Planned","26","101","vapor-barrier-under-concrete-slab","poly"
"102","how much attic insulation per square foot","insulation","Blog","insulation-calculator","/tools/insulation/insulation-calculator.html","/tools/insulation/insulation-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/r-value-calculator.html | /tools/insulation/","/tools/insulation/insulation-calculator.html | /tools/insulation/","Commercial","Medium","Planned","26","102","how-much-attic-insulation-per-square-foot",""
"103","best r value for 2x6 walls","insulation","Blog","r-value-calculator","/tools/insulation/r-value-calculator.html","/tools/insulation/r-value-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/insulation-calculator.html | /tools/insulation/","/tools/insulation/r-value-calculator.html | /tools/insulation/","Informational","Medium","Planned","26","103","best-r-value-for-2x6-walls",""
"104","blown in insulation coverage per bag","insulation","Blog","blown-in-insulation-calculator","/tools/insulation/blown-in-insulation-calculator.html","/tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/insulation-calculator.html | /tools/insulation/r-value-calculator.html | /tools/insulation/","/tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/","Informational","Low","Planned","26","104","blown-in-insulation-coverage-per-bag",""
"105","spray foam vs fiberglass cost per square foot","insulation","Blog","insulation-calculator","/tools/insulation/insulation-calculator.html","/tools/insulation/insulation-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/r-value-calculator.html | /tools/insulation/","/tools/insulation/insulation-calculator.html | /tools/insulation/","Commercial","Medium","Planned","27","105","spray-foam-vs-fiberglass-cost-per-square-foot",""
"106","vapor barrier thickness for crawl space","insulation","Blog","vapor-barrier-calculator","/tools/insulation/vapor-barrier-calculator.html","/tools/insulation/vapor-barrier-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/insulation-calculator.html | /tools/insulation/","/tools/insulation/vapor-barrier-calculator.html | /tools/insulation/","Informational","Low","Planned","27","106","vapor-barrier-thickness-for-crawl-space",""
"107","how many bales of insulation for a wall","insulation","Blog","insulation-calculator","/tools/insulation/insulation-calculator.html","/tools/insulation/insulation-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/r-value-calculator.html | /tools/insulation/","/tools/insulation/insulation-calculator.html | /tools/insulation/","Informational","Low","Planned","27","107","how-many-bales-of-insulation-for-a-wall",""
"108","how much does it cost to soundproof a room per square foot","insulation","Blog","insulation-calculator","/tools/insulation/insulation-calculator.html","/tools/insulation/insulation-calculator.html | /tools/insulation/blown-in-insulation-calculator.html | /tools/insulation/r-value-calculator.html | /tools/insulation/","/tools/insulation/insulation-calculator.html | /tools/insulation/","Commercial","Low","Planned","27","108","how-much-does-it-cost-to-soundproof-a-room-per-square-foot",""
"109","how many sheets of drywall for a room","drywall","Blog","drywall-calculator","/tools/drywall/drywall-calculator.html","/tools/drywall/drywall-calculator.html | /tools/drywall/drywall-mud-calculator.html | /tools/drywall/drywall-tape-calculator.html | /tools/drywall/","/tools/drywall/drywall-calculator.html | /tools/drywall/","Informational","High","Planned","28","109","how-many-sheets-of-drywall-for-a-room","4x8/4x12"
"110","drywall mud and tape calculator","drywall","Blog","drywall-mud-calculator","/tools/drywall/drywall-mud-calculator.html","/tools/drywall/drywall-mud-calculator.html | /tools/drywall/drywall-calculator.html | /tools/drywall/drywall-tape-calculator.html | /tools/drywall/","/tools/drywall/drywall-mud-calculator.html | /tools/drywall/","Informational","Medium","Planned","28","110","drywall-mud-and-tape-calculator","per sq ft"
"111","cost to hang and finish drywall per sheet","drywall","Blog","drywall-calculator","/tools/drywall/drywall-calculator.html","/tools/drywall/drywall-calculator.html | /tools/drywall/drywall-mud-calculator.html | /tools/drywall/drywall-tape-calculator.html | /tools/drywall/","/tools/drywall/drywall-calculator.html | /tools/drywall/","Commercial","Medium","Planned","28","111","cost-to-hang-and-finish-drywall-per-sheet",""
"112","how much drywall mud per square foot","drywall","Blog","drywall-mud-calculator","/tools/drywall/drywall-mud-calculator.html","/tools/drywall/drywall-mud-calculator.html | /tools/drywall/drywall-calculator.html | /tools/drywall/drywall-tape-calculator.html | /tools/drywall/","/tools/drywall/drywall-mud-calculator.html | /tools/drywall/","Informational","Low","Planned","28","112","how-much-drywall-mud-per-square-foot",""
"113","how many feet of drywall tape per sheet","drywall","Blog","drywall-tape-calculator","/tools/drywall/drywall-tape-calculator.html","/tools/drywall/drywall-tape-calculator.html | /tools/drywall/drywall-calculator.html | /tools/drywall/drywall-mud-calculator.html | /tools/drywall/","/tools/drywall/drywall-tape-calculator.html | /tools/drywall/","Informational","Low","Planned","29","113","how-many-feet-of-drywall-tape-per-sheet",""
"114","drywall cost per square foot installed","drywall","Blog","drywall-calculator","/tools/drywall/drywall-calculator.html","/tools/drywall/drywall-calculator.html | /tools/drywall/drywall-mud-calculator.html | /tools/drywall/drywall-tape-calculator.html | /tools/drywall/","/tools/drywall/drywall-calculator.html | /tools/drywall/","Commercial","Medium","Planned","29","114","drywall-cost-per-square-foot-installed",""
"115","how to estimate drywall for a ceiling","drywall","Blog","drywall-calculator","/tools/drywall/drywall-calculator.html","/tools/drywall/drywall-calculator.html | /tools/drywall/drywall-mud-calculator.html | /tools/drywall/drywall-tape-calculator.html | /tools/drywall/","/tools/drywall/drywall-calculator.html | /tools/drywall/","Informational","Low","Planned","29","115","how-to-estimate-drywall-for-a-ceiling",""
"116","how to size a water line for a house","plumbing","Blog","pipe-size-calculator","/tools/plumbing/pipe-size-calculator.html","/tools/plumbing/pipe-size-calculator.html | /tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/","/tools/plumbing/pipe-size-calculator.html | /tools/plumbing/","Informational","High","Planned","29","116","how-to-size-a-water-line-for-a-house","main line"
"117","septic tank size for 3 bedroom house","plumbing","Blog","septic-tank-calculator","/tools/plumbing/septic-tank-calculator.html","/tools/plumbing/septic-tank-calculator.html | /tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/","/tools/plumbing/septic-tank-calculator.html | /tools/plumbing/","Informational","High","Planned","30","117","septic-tank-size-for-3-bedroom-house","gallons"
"118","drain pipe sizing for bathroom","plumbing","Blog","drain-pipe-calculator","/tools/plumbing/drain-pipe-calculator.html","/tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/pipe-size-calculator.html | /tools/plumbing/","/tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/","Informational","Medium","Planned","30","118","drain-pipe-sizing-for-bathroom",""
"119","water flow rate gpm calculator","plumbing","Blog","water-flow-calculator","/tools/plumbing/water-flow-calculator.html","/tools/plumbing/water-flow-calculator.html | /tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/","/tools/plumbing/water-flow-calculator.html | /tools/plumbing/","Informational","Medium","Planned","30","119","water-flow-rate-gpm-calculator",""
"120","cost to repipe a house 2026","plumbing","Blog","pipe-size-calculator","/tools/plumbing/pipe-size-calculator.html","/tools/plumbing/pipe-size-calculator.html | /tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/","/tools/plumbing/pipe-size-calculator.html | /tools/plumbing/","Commercial","High","Planned","30","120","cost-to-repipe-a-house-2026","copper/pex"
"121","water heater size for family of 4","plumbing","Blog","water-heater-calculator","/tools/plumbing/water-heater-calculator.html","/tools/plumbing/water-heater-calculator.html | /tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/","/tools/plumbing/water-heater-calculator.html | /tools/plumbing/","Informational","Medium","Planned","31","121","water-heater-size-for-family-of-4",""
"122","how many fixtures on a 3/4 water line","plumbing","Blog","fixture-calculator","/tools/plumbing/fixture-calculator.html","/tools/plumbing/fixture-calculator.html | /tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/pipe-size-calculator.html | /tools/plumbing/","/tools/plumbing/fixture-calculator.html | /tools/plumbing/","Informational","Medium","Planned","31","122","how-many-fixtures-on-a-3-4-water-line",""
"123","drain pipe slope per foot code","plumbing","Blog","drain-pipe-calculator","/tools/plumbing/drain-pipe-calculator.html","/tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/pipe-size-calculator.html | /tools/plumbing/","/tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/","Informational","Medium","Planned","31","123","drain-pipe-slope-per-foot-code",""
"124","cost to replace a water heater 2026","plumbing","Blog","water-heater-calculator","/tools/plumbing/water-heater-calculator.html","/tools/plumbing/water-heater-calculator.html | /tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/","/tools/plumbing/water-heater-calculator.html | /tools/plumbing/","Commercial","Medium","Planned","31","124","cost-to-replace-a-water-heater-2026",""
"125","how to calculate water pressure loss","plumbing","Blog","water-flow-calculator","/tools/plumbing/water-flow-calculator.html","/tools/plumbing/water-flow-calculator.html | /tools/plumbing/drain-pipe-calculator.html | /tools/plumbing/fixture-calculator.html | /tools/plumbing/","/tools/plumbing/water-flow-calculator.html | /tools/plumbing/","Informational","Low","Planned","32","125","how-to-calculate-water-pressure-loss",""
"126","vinyl siding cost per square foot installed","siding","Blog","vinyl-siding-calculator","/tools/siding/vinyl-siding-calculator.html","/tools/siding/vinyl-siding-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/gutter-calculator.html | /tools/siding/","/tools/siding/vinyl-siding-calculator.html | /tools/siding/","Commercial","High","Planned","32","126","vinyl-siding-cost-per-square-foot-installed",""
"127","how many squares of siding for a house","siding","Blog","siding-calculator","/tools/siding/siding-calculator.html","/tools/siding/siding-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/gutter-calculator.html | /tools/siding/","/tools/siding/siding-calculator.html | /tools/siding/","Informational","High","Planned","32","127","how-many-squares-of-siding-for-a-house",""
"128","fiber cement vs vinyl siding cost","siding","Blog","siding-calculator","/tools/siding/siding-calculator.html","/tools/siding/siding-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/gutter-calculator.html | /tools/siding/","/tools/siding/siding-calculator.html | /tools/siding/","Commercial","Medium","Planned","32","128","fiber-cement-vs-vinyl-siding-cost",""
"129","how to calculate siding square footage","siding","Blog","siding-calculator","/tools/siding/siding-calculator.html","/tools/siding/siding-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/gutter-calculator.html | /tools/siding/","/tools/siding/siding-calculator.html | /tools/siding/","Informational","High","Planned","33","129","how-to-calculate-siding-square-footage",""
"130","gutter installation cost per linear foot","siding","Blog","gutter-calculator","/tools/siding/gutter-calculator.html","/tools/siding/gutter-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/siding-calculator.html | /tools/siding/","/tools/siding/gutter-calculator.html | /tools/siding/","Commercial","Medium","Planned","33","130","gutter-installation-cost-per-linear-foot",""
"131","how to size gutters and downspouts","siding","Blog","gutter-calculator","/tools/siding/gutter-calculator.html","/tools/siding/gutter-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/siding-calculator.html | /tools/siding/","/tools/siding/gutter-calculator.html | /tools/siding/","Informational","Medium","Planned","33","131","how-to-size-gutters-and-downspouts",""
"132","brick veneer cost per square foot","siding","Blog","brick-veneer-calculator","/tools/siding/brick-veneer-calculator.html","/tools/siding/brick-veneer-calculator.html | /tools/siding/gutter-calculator.html | /tools/siding/siding-calculator.html | /tools/siding/","/tools/siding/brick-veneer-calculator.html | /tools/siding/","Commercial","Low","Planned","33","132","brick-veneer-cost-per-square-foot",""
"133","stucco cost per square foot installed","siding","Blog","stucco-calculator","/tools/siding/stucco-calculator.html","/tools/siding/stucco-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/gutter-calculator.html | /tools/siding/","/tools/siding/stucco-calculator.html | /tools/siding/","Commercial","Medium","Planned","34","133","stucco-cost-per-square-foot-installed",""
"134","how many gutter downspouts do i need","siding","Blog","gutter-calculator","/tools/siding/gutter-calculator.html","/tools/siding/gutter-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/siding-calculator.html | /tools/siding/","/tools/siding/gutter-calculator.html | /tools/siding/","Informational","Medium","Planned","34","134","how-many-gutter-downspouts-do-i-need",""
"135","vinyl siding squares per box","siding","Blog","vinyl-siding-calculator","/tools/siding/vinyl-siding-calculator.html","/tools/siding/vinyl-siding-calculator.html | /tools/siding/brick-veneer-calculator.html | /tools/siding/gutter-calculator.html | /tools/siding/","/tools/siding/vinyl-siding-calculator.html | /tools/siding/","Informational","Low","Planned","34","135","vinyl-siding-squares-per-box",""
"136","how many btu per square foot cooling","hvac","Blog","btu-calculator","/tools/hvac/btu-calculator.html","/tools/hvac/btu-calculator.html | /tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/","/tools/hvac/btu-calculator.html | /tools/hvac/","Informational","High","Planned","34","136","how-many-btu-per-square-foot-cooling",""
"137","what size ac unit for 1500 sq ft house","hvac","Blog","ac-tonnage-calculator","/tools/hvac/ac-tonnage-calculator.html","/tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/btu-calculator.html | /tools/hvac/","/tools/hvac/ac-tonnage-calculator.html | /tools/hvac/","Informational","High","Planned","35","137","what-size-ac-unit-for-1500-sq-ft-house",""
"138","furnace sizing by square footage","hvac","Blog","furnace-size-calculator","/tools/hvac/furnace-size-calculator.html","/tools/hvac/furnace-size-calculator.html | /tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/","/tools/hvac/furnace-size-calculator.html | /tools/hvac/","Informational","Medium","Planned","35","138","furnace-sizing-by-square-footage",""
"139","hvac installation cost per square foot","hvac","Blog","hvac-cost-calculator","/tools/hvac/hvac-cost-calculator.html","/tools/hvac/hvac-cost-calculator.html | /tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/","/tools/hvac/hvac-cost-calculator.html | /tools/hvac/","Commercial","High","Planned","35","139","hvac-installation-cost-per-square-foot",""
"140","how to calculate duct size for hvac","hvac","Blog","duct-calculator","/tools/hvac/duct-calculator.html","/tools/hvac/duct-calculator.html | /tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/","/tools/hvac/duct-calculator.html | /tools/hvac/","Informational","Medium","Planned","35","140","how-to-calculate-duct-size-for-hvac",""
"141","how to calculate airflow cfm","hvac","Blog","airflow-calculator","/tools/hvac/airflow-calculator.html","/tools/hvac/airflow-calculator.html | /tools/hvac/ac-tonnage-calculator.html | /tools/hvac/btu-calculator.html | /tools/hvac/","/tools/hvac/airflow-calculator.html | /tools/hvac/","Informational","Medium","Planned","36","141","how-to-calculate-airflow-cfm",""
"142","ac tonnage per square foot rule","hvac","Blog","ac-tonnage-calculator","/tools/hvac/ac-tonnage-calculator.html","/tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/btu-calculator.html | /tools/hvac/","/tools/hvac/ac-tonnage-calculator.html | /tools/hvac/","Informational","Medium","Planned","36","142","ac-tonnage-per-square-foot-rule",""
"143","cost to replace hvac system 2026","hvac","Blog","hvac-cost-calculator","/tools/hvac/hvac-cost-calculator.html","/tools/hvac/hvac-cost-calculator.html | /tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/","/tools/hvac/hvac-cost-calculator.html | /tools/hvac/","Commercial","High","Planned","36","143","cost-to-replace-hvac-system-2026",""
"144","how many vents per room hvac","hvac","Blog","duct-calculator","/tools/hvac/duct-calculator.html","/tools/hvac/duct-calculator.html | /tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/","/tools/hvac/duct-calculator.html | /tools/hvac/","Informational","Low","Planned","36","144","how-many-vents-per-room-hvac",""
"145","furnace btu per square foot gas","hvac","Blog","furnace-size-calculator","/tools/hvac/furnace-size-calculator.html","/tools/hvac/furnace-size-calculator.html | /tools/hvac/ac-tonnage-calculator.html | /tools/hvac/airflow-calculator.html | /tools/hvac/","/tools/hvac/furnace-size-calculator.html | /tools/hvac/","Informational","Low","Planned","37","145","furnace-btu-per-square-foot-gas",""
"146","how to calculate countertop square footage","kitchen-bath","Blog","countertop-calculator","/tools/kitchen-bath/countertop-calculator.html","/tools/kitchen-bath/countertop-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/countertop-calculator.html | /tools/kitchen-bath/","Informational","High","Planned","37","146","how-to-calculate-countertop-square-footage",""
"147","quartz vs granite countertop cost","kitchen-bath","Blog","countertop-calculator","/tools/kitchen-bath/countertop-calculator.html","/tools/kitchen-bath/countertop-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/countertop-calculator.html | /tools/kitchen-bath/","Commercial","High","Planned","37","147","quartz-vs-granite-countertop-cost",""
"148","backsplash tile calculator square feet","kitchen-bath","Blog","backsplash-calculator","/tools/kitchen-bath/backsplash-calculator.html","/tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/","Informational","High","Planned","37","148","backsplash-tile-calculator-square-feet",""
